"A","ProductName","InArea","Mba","ProductSerialNumber","commodity","AnnualConsumption","StartDate","ContractDuration","OrderDate","Status","PriceGuaranteeUntil","PriceValidSince","PriceChangePlanned","OrigBaseCosts","OrigKwhCosts","OrigKwhMargin","OrigbaseMargin","CurrentBasePriceNet","CurrentKwhPriceNet","CatalogBasePrice","CatalogKwhPrice","CurrentBaseCosts","CurrentKwhCosts","CurrentKwhMargin","CurrentBaseMargin","BaseNewPriceProposed","KwhNewPriceProposed","NewPriceInclude","NewPriceStartdate","CurrentBaseTargetMargin","CurrentKwhTargetMargin","error"
"A2","EASY","False","en-4874820691","ev-nlhud5923","power",2345,"2021-01-01 00:00:00","2021-01-01 00:00:00","2020-09-08","active","2021-01-01 00:00:00","2020-09-08","False",63.43,0.2246,0.0116,30,93.43,0.2362,117.83,0.3661,90.44,0.20313,0.03307,2.99000000000001,120.44,0.2147,,,27.39,0.163,
"A2","EASY","False","en-1483788624","ev-dhedw3611","power",2345,"2021-02-03","2021-02-03 00:00:00","2020-10-01","active","2021-02-03 00:00:00","2020-10-01","False",65.9672,0.233584,0.012064,31.2,97.1672,0.245648,122.5432,0.380744,94.0576,0.2112552,0.0343928,3.1096,125.2576,0.223288,,,28.4856,0.16952,
"A2","EASY","False","en-5246963580","ev-vjlwy6524","power",2345,"2021-07-01","2021-07-01 00:00:00","2020-10-01","active","2021-07-01 00:00:00","2020-10-01","False",54.5498,0.193156,0.009976,25.8,80.3498,0.203132,101.3338,0.314846,77.7784,0.1746918,0.0284402,2.57140000000001,103.5784,0.184642,,,23.5554,0.14018,
"A2","EASY","False","en-9253519830","ev-jgdlb3206","power",2345,"2021-08-01","2021-08-01 00:00:00","2020-10-01","active","2021-08-01 00:00:00","2020-10-01","False",65.9672,0.233584,0.012064,31.2,97.1672,0.245648,122.5432,0.380744,94.0576,0.2112552,0.0343928,3.1096,125.2576,0.223288,,,28.4856,0.16952,
"A2","EASY","False","en-9117418823","ev-cmrum6926","power",2345,"2021-08-01","2021-08-01 00:00:00","2020-10-06","active","2021-08-01 00:00:00","2020-10-01","False",53.9155,0.19091,0.00986,25.5,79.4155,0.20077,100.1555,0.311185,76.874,0.1726605,0.0281095,2.54150000000001,102.374,0.182495,,,23.2815,0.13855,
"A2","EASY","False","en-1390478806","ev-degkl9036","gas",2345,"2021-11-01","2021-11-01 00:00:00","2020-10-08","active","2021-11-01 00:00:00","2020-10-01","False",72.5172,0.03392146,0.00178,35.6,108.1172,0.035689,151.4335,0.132165,115.8335,0.0391778,-0.0034888,-7.71629999999999,151.4335,0.04094,,,35.6,0.093005,
"A2","EASY","False","en-6600690975","ev-djqhf5314","gas",2345,"2021-07-16","2021-07-16 00:00:00","2020-10-13","active","2021-07-16 00:00:00","2020-10-01","False",79.8504,0.03735172,0.00196,39.2,119.0504,0.039298,166.747,0.14553,127.547,0.0431396,-0.0038416,-8.4966,166.747,0.04508,,,39.2,0.10241,
"A2","EASY","False","en-4010482778","ev-fkeuk2279","power",2345,"2021-08-25","2021-08-25 00:00:00","2020-10-13","active","2021-08-25 00:00:00","2020-10-01","False",64.6986,0.229092,0.011832,30.6,95.2986,0.240924,120.1866,0.373422,92.2488,0.2071926,0.0337314,3.0498,122.8488,0.218994,,,27.9378,0.16626,
"A2","EASY","False","en-9651489768","ev-hyndh3895","power",2345,"2021-10-15","2021-10-15 00:00:00","2020-10-15","active","2021-10-15 00:00:00","2020-10-01","False",61.5271,0.217862,0.011252,29.1,90.6271,0.229114,114.2951,0.355117,87.7268,0.1970361,0.0320779,2.9003,116.8268,0.208259,,,26.5683,0.15811,
"A2","EASY","False",30782599,84828394,"power",1191,"2021-10-20","2021-10-20 00:00:00","2020-10-21","active","2021-10-20 00:00:00","2020-10-01","False",62.9442,0.225225,0.005544,7.92,70.8642,0.230769,86.7636,0.215523,86.7636,0.2155329,0.0152361,-15.8994,94.6836,0.221067,,,0,0,
"A2","EASY","False",31550347,8001387784,"power",3893,"2021-10-20","2021-10-20 00:00:00","2020-10-26","active","2021-10-20 00:00:00","2020-10-01","False",102.7936,0.23816,0.012064,31.2,133.9936,0.250224,162.7496,0.377624,134.264,0.2081352,0.0420888,-0.270399999999995,165.464,0.220168,,,28.4856,0.16952,
"A2","EASY","False",31548744,8001376318,"power",3054,"2021-10-11","2021-10-11 00:00:00","2020-10-26","active","2021-10-11 00:00:00","2020-10-01","False",96.8632,0.22442,0.011368,29.4,126.2632,0.235788,153.3602,0.355838,126.518,0.1961274,0.0396606,-0.254799999999989,155.918,0.207466,,,26.8422,0.15974,
"A2",12,"False","en-3567527258","ev-dtepe9737","power",2345,"2021-04-01","2022-03-31 00:00:00","2020-11-18","active","2022-03-31 00:00:00","2020-10-01","False",69.773,0.24706,0.0077,26.4,96.173,0.25476,118.613,0.41151,99.484,0.223443,0.031317,-3.31099999999999,125.884,0.23111,,,19.129,0.1881,
"A2","EASY","False","en-7197247914","ev-wqodd3107","power",2345,"2021-08-03","2021-08-03 00:00:00","2020-11-25","active","2021-08-03 00:00:00","2020-10-01","False",70.4073,0.249306,0.012876,33.3,103.7073,0.262182,130.7913,0.406371,100.3884,0.2254743,0.0367077,3.31890000000001,133.6884,0.238317,,,30.4029,0.18093,
"A2","EASY","False","en-7197247914","ev-bcktl3908","gas",2345,"2021-11-03","2021-11-03 00:00:00","2020-11-25","active","2021-11-03 00:00:00","2020-10-01","False",78.2208,0.03658944,0.00192,38.4,116.6208,0.038496,163.344,0.14256,124.944,0.0422592,-0.0037632,-8.3232,163.344,0.04416,,,38.4,0.10032,
"A2","EASY","False","en-4021770591","ev-pfexu4557","gas",2345,"2021-04-01","2021-04-01 00:00:00","2020-11-25","active","2021-04-01 00:00:00","2020-10-01","False",87.1836,0.04078198,0.00214,42.8,129.9836,0.042907,182.0605,0.158895,139.2605,0.0471014,-0.0041944,-9.27689999999998,182.0605,0.04922,,,42.8,0.111815,
"A2",12,"False","en-5270867228","ev-uyzna6890","power",2345,"2021-01-01","2021-12-31 00:00:00","2020-11-26","active","2021-12-31 00:00:00","2020-10-01","False",59.6242,0.211124,0.00658,22.56,82.1842,0.217704,101.3602,0.351654,85.0136,0.1909422,0.0267618,-2.82939999999999,107.5736,0.197494,,,16.3466,0.16074,
"A2",12,"False","en-5532433462","ev-nnidq9928","gas",2345,"2021-01-01","2021-12-31 00:00:00","2020-12-02","active","2021-12-31 00:00:00","2020-10-01","False",83.1096,0.03887628,0.00153,32.64,115.7496,0.040392,165.393,0.15453,132.753,0.0449004,-0.0045084,-17.0034,165.393,0.04641,,,32.64,0.10965,
"A2","EASY","False","en-6183438750","ev-aiwhq4959","power",2345,"2021-01-05","2021-01-05 00:00:00","2020-12-09","active","2021-01-05 00:00:00","2020-10-01","False",66.6015,0.23583,0.01218,31.5,98.1015,0.24801,123.7215,0.384405,94.962,0.2132865,0.0347235,3.13950000000001,126.462,0.225435,,,28.7595,0.17115,
"A2",12,"False","en-7718062628","ev-wvuta7971","gas",2345,"2021-01-05","2022-01-04 00:00:00","2020-12-10","active","2022-01-04 00:00:00","2020-10-01","False",71.7024,0.03354032,0.00132,28.16,99.8624,0.034848,142.692,0.13332,114.532,0.0387376,-0.0038896,-14.6696,142.692,0.04004,,,28.16,0.0946,
"A2",12,"False","en-8073164504","ev-bisza0277","power",2345,"2021-01-06","2022-01-05 00:00:00","2020-12-11","active","2022-01-05 00:00:00","2020-10-01","False",69.1387,0.244814,0.00763,26.16,95.2987,0.252444,117.5347,0.407769,98.5796,0.2214117,0.0310323,-3.28089999999999,124.7396,0.229009,,,18.9551,0.18639,
"A2",12,"False","en-8073164504","ev-bldqo8856","gas",2345,"2021-01-06","2022-01-05 00:00:00","2020-12-11","active","2022-01-05 00:00:00","2020-10-01","False",75.7764,0.03544602,0.001395,29.76,105.5364,0.036828,150.7995,0.140895,121.0395,0.0409386,-0.0041106,-15.5031,150.7995,0.042315,,,29.76,0.099975,
"A2",12,"False","en-3751259452","ev-yhdfk9643","power",2345,"2021-01-05","2022-01-04 00:00:00","2020-12-16","active","2022-01-04 00:00:00","2020-10-01","False",58.3556,0.206632,0.00644,22.08,80.4356,0.213072,99.2036,0.344172,83.2048,0.1868796,0.0261924,-2.7692,105.2848,0.193292,,,15.9988,0.15732,
"A2",12,"False","en-3751259452","ev-ggokb7035","gas",2345,"2021-01-05","2022-01-04 00:00:00","2020-12-16","active","2022-01-04 00:00:00","2020-10-01","False",92.0724,0.04306882,0.001695,36.16,128.2324,0.044748,183.2295,0.171195,147.0695,0.0497426,-0.0049946,-18.8371,183.2295,0.051415,,,36.16,0.121475,
"A2",12,"False","en-9604390998","ev-vylsg1184","power",2345,"2021-01-01","2021-12-31 00:00:00","2020-12-17","active","2021-12-31 00:00:00","2020-10-01","False",53.9155,0.19091,0.00595,20.4,74.3155,0.19686,91.6555,0.317985,76.874,0.1726605,0.0241995,-2.55849999999999,97.274,0.178585,,,14.7815,0.14535,
"A2","EASY","False","en-4840349478","ev-qbcht8499","gas",2345,"2021-01-20","2021-01-20 00:00:00","2020-12-17","active","2021-01-20 00:00:00","2020-10-01","False",85.554,0.0400197,0.0021,42,127.554,0.042105,178.6575,0.155925,136.6575,0.046221,-0.004116,-9.10349999999998,178.6575,0.0483,,,42,0.109725,
"A2","EASY","False","en-4840349478","ev-jipbn5821","power",2345,"2021-01-20","2021-01-20 00:00:00","2020-12-17","active","2021-01-20 00:00:00","2020-10-01","False",58.3556,0.206632,0.010672,27.6,85.9556,0.217304,108.4036,0.336812,83.2048,0.1868796,0.0304244,2.7508,110.8048,0.197524,,,25.1988,0.14996,
"A2","EASY","False","en-1098857566","ev-loiru2669","power",2345,"2021-01-01","2021-01-01 00:00:00","2020-12-18","active","2021-01-01 00:00:00","2020-10-01","False",54.5498,0.193156,0.009976,25.8,80.3498,0.203132,101.3338,0.314846,77.7784,0.1746918,0.0284402,2.57140000000001,103.5784,0.184642,,,23.5554,0.14018,
"A2",12,"False","en-9598349463","ev-npvre8877","power",2345,"2021-01-03","2022-01-02 00:00:00","2020-12-21","active","2022-01-02 00:00:00","2020-10-01","False",69.1387,0.244814,0.00763,26.16,95.2987,0.252444,117.5347,0.407769,98.5796,0.2214117,0.0310323,-3.28089999999999,124.7396,0.229009,,,18.9551,0.18639,
"A2",12,"False","en-9598349463","ev-rnpby7979","gas",2345,"2021-01-03","2022-01-02 00:00:00","2020-12-21","active","2022-01-02 00:00:00","2020-10-01","False",93.702,0.0438311,0.001725,36.8,130.502,0.04554,186.4725,0.174225,149.6725,0.050623,-0.005083,-19.1705,186.4725,0.052325,,,36.8,0.123625,
"A2",12,"False","en-0903328839","ev-rdmpd7029","power",2345,"2021-09-15","2022-09-14 00:00:00","2020-12-21","active","2022-09-14 00:00:00","2020-10-01","False",62.1614,0.220108,0.00686,23.52,85.6814,0.226968,105.6734,0.366618,88.6312,0.1990674,0.0279006,-2.94979999999998,112.1512,0.205898,,,17.0422,0.16758,
"A2","EASY","False","en-9598349463","ev-wbdtj2804","power",2345,"2021-01-03","2021-01-03 00:00:00","2020-12-21","active","2021-01-03 00:00:00","2020-10-01","False",67.8701,0.240322,0.012412,32.1,99.9701,0.252734,126.0781,0.391727,96.7708,0.2173491,0.0353849,3.19930000000001,128.8708,0.229729,,,29.3073,0.17441,
"A2","EASY","False","en-9598349463","ev-qeenw7738","gas",2345,"2021-01-03","2021-01-03 00:00:00","2020-12-21","active","2021-01-03 00:00:00","2020-10-01","False",72.5172,0.03392146,0.00178,35.6,108.1172,0.035689,151.4335,0.132165,115.8335,0.0391778,-0.0034888,-7.71629999999999,151.4335,0.04094,,,35.6,0.093005,
"A2","EASY","False","en-8541585082","ev-xebly6017","power",2345,"2021-07-25","2021-07-25 00:00:00","2020-12-31","active","2021-07-25 00:00:00","2020-10-01","False",55.8184,0.197648,0.010208,26.4,82.2184,0.207856,103.6904,0.322168,79.5872,0.1787544,0.0291016,2.63120000000001,105.9872,0.188936,,,24.1032,0.14344,
"A2",12,"False","en-7989420091","ev-udzzm0640","power",2345,"2021-01-04","2022-01-03 00:00:00","2021-01-04","active","2022-01-03 00:00:00","2020-10-01","False",59.1294,0.211575,0.00093,1.86,60.9894,0.212505,89.8752,0.32364,83.421,0.1813779,0.0311271,-22.4316,85.281,0.18228,,,6.4542,0.14229,
"A2",12,"False","en-7989420091","ev-naeoz5078","gas",2345,"2021-01-04","2022-01-03 00:00:00","2021-01-04","active","2022-01-03 00:00:00","2020-10-01","False",124.85,0.044294,0.0015,32,156.85,0.0458,158.29,0.1248,176.19,0.050327,-0.004527,-19.34,208.19,0.0518,,,-17.9,0.0745,
"A2","EASY","False","en-0454661588","ev-nssgf4310","power",2345,"2021-01-01","2021-01-01 00:00:00","2021-01-04","active","2021-01-01 00:00:00","2020-10-01","False",55.8184,0.197648,0.010208,26.4,82.2184,0.207856,103.6904,0.322168,79.5872,0.1787544,0.0291016,2.63120000000001,105.9872,0.188936,,,24.1032,0.14344,
"A2",12,"False","en-0454661588","ev-kfapg2714","gas",2345,"2021-01-01","2021-12-31 00:00:00","2021-01-04","active","2021-12-31 00:00:00","2020-10-01","False",90.4428,0.04230654,0.001665,35.52,125.9628,0.043956,179.9865,0.168165,144.4665,0.0488622,-0.0049062,-18.5037,179.9865,0.050505,,,35.52,0.119325,
"A2","EASY","False","en-9506584276","ev-nfcgx1637","gas",2345,"2020-11-02","2020-11-02 00:00:00","2020-11-23","active","2020-11-02 00:00:00","2020-10-01","False",76.5912,0.03582716,0.00188,37.6,114.1912,0.037694,159.941,0.13959,122.341,0.0413788,-0.0036848,-8.1498,159.941,0.04324,,,37.6,0.09823,
"A2","EASY","False","en-6769067791","ev-qmuzi4705","power",2345,"2020-11-06","2020-11-06 00:00:00","2020-11-27","active","2020-11-06 00:00:00","2020-10-01","False",53.9155,0.19091,0.00986,25.5,79.4155,0.20077,100.1555,0.311185,76.874,0.1726605,0.0281095,2.54150000000001,102.374,0.182495,,,23.2815,0.13855,
"A2",12,"False","en-7869831896","ev-ioica4692","power",2345,"2020-09-19","2021-09-18 00:00:00","2020-10-08","active","2021-09-18 00:00:00","2020-10-01","False",69.1387,0.244814,0.00763,26.16,95.2987,0.252444,117.5347,0.407769,98.5796,0.2214117,0.0310323,-3.28089999999999,124.7396,0.229009,,,18.9551,0.18639,
"A2","EASY","False","en-8777349054","ev-wknqm6440","gas",2345,"2020-09-26","2020-09-26 00:00:00","2020-10-17","active","2020-09-26 00:00:00","2020-10-01","False",92.0724,0.04306882,0.00226,45.2,137.2724,0.045313,192.2695,0.167805,147.0695,0.0497426,-0.0044296,-9.7971,192.2695,0.05198,,,45.2,0.118085,
"A2",12,"False","en-2622388276","ev-vyjre9672","power",2345,"2020-10-01","2021-09-30 00:00:00","2020-10-16","active","2021-09-30 00:00:00","2020-10-01","False",68.0306,0.243425,0.00107,2.14,70.1706,0.244495,103.4048,0.37236,95.979,0.2086821,0.0358129,-25.8084,98.119,0.20972,,,7.4258,0.16371,
"A2","EASY","False","en-7415668065","ev-cvpmx2336","power",2345,"2020-10-23","2020-10-23 00:00:00","2020-11-13","active","2020-10-23 00:00:00","2020-10-01","False",62.7957,0.222354,0.011484,29.7,92.4957,0.233838,116.6517,0.362439,89.5356,0.2010987,0.0327393,2.9601,119.2356,0.212553,,,27.1161,0.16137,
"A2",12,"False","en-4041575137","ev-apkkn8819","gas",2345,"2020-07-12","2021-07-11 00:00:00","2020-11-04","active","2021-07-11 00:00:00","2020-10-01","False",90.4428,0.04230654,0.001665,35.52,125.9628,0.043956,179.9865,0.168165,144.4665,0.0488622,-0.0049062,-18.5037,179.9865,0.050505,,,35.52,0.119325,
